Generacja,Najlepszy,Średnia,Odchylenie
1,51974.99746637488,836244120.1100667,1262362302.4608178
2,23498.158400469954,251708153.58835545,1500915291.8018854
3,18386.691600077447,11097973.77307725,67481294.59288612
4,18304.285076460834,131067814.88203482,638379624.5353242
5,18053.195759428505,135568.72355619835,242975.89272341688
6,17914.443074092578,157219.84379566574,497037.4912585917
7,17914.443074092578,87640.29971038073,199615.8629772872
8,17316.045927066058,55946.150981129336,93386.5088954962
9,17316.045927066058,58198.460708429164,202687.89535274298
10,17303.339800405556,147912.12342928135,436459.3641239375
11,16952.02335157493,56468.23897157163,131391.6836453521
12,16952.02335157493,132648.51145302528,410029.68563015375
13,16749.064391955857,106031.87887425174,297459.5096048828
14,16749.064391955857,268996.82176854054,565599.3215170486
15,16514.555227534882,53254.58920062899,117815.95218582755
16,16514.010918871943,37549.95130692206,82723.60885370125
17,16460.316682403936,248809.84483962768,594997.6467172381
18,16321.638752190898,181292.47909254848,521637.83841290313
19,16321.638752190898,90030.36877432426,316996.3967005519
20,16144.359335429968,183953.00753685497,444800.19575548294
21,16144.359335429968,39797.68670195402,80716.98839910828
22,16144.359335429968,60565.311165165585,118364.05966740714
23,16144.359335429968,108139.47104328942,271437.8634048353
24,16060.457572744515,128240.59171750082,448041.12673008087
25,15908.219762224904,53597.65937587018,106725.4199006613
26,15815.551796181519,140331.18561098908,386180.58971119754
27,15685.89206795945,101807.31043648579,263011.81498473114
28,15435.068405264807,45847.135410279756,120692.52177696135
29,15207.611694638194,99042.70975847488,214450.80739945613
30,15207.611694638194,119067.28766975678,291465.75610940607
31,15207.611694638194,47142.352476025146,141490.38096669782
32,15173.48210144236,102382.45747664306,250777.57540722567
33,14827.355453589867,109988.86371672247,416718.91272456635
34,14536.726400185522,38932.458068573585,82220.20885361904
35,14484.603137105632,173627.92420504845,635323.7482136304
36,14271.446423330237,199787.6525498527,491146.64074008615
37,14133.731768651403,91631.93436906,232806.2672681081
38,14104.734595340213,80288.32223855365,234389.2006853257
39,14003.136258632414,40813.990713912935,89024.13877317586
40,13934.575891668059,156739.24876145824,457377.2234663681
41,13791.332461144571,145005.53850229867,366571.21028219315
42,13774.103663997112,118981.09793693956,393723.21008885035
43,13667.961569029387,136553.28306848276,388243.89958375634
44,13667.961569029387,108156.06810200792,206472.33973730105
45,13636.272357731508,191471.53798781353,602907.0704185835
46,13496.560095623532,76439.52795063489,230976.27022168538
47,13449.32627061225,46837.35328509765,134175.85719166487
48,13401.389175718146,111566.50813204359,423368.1410025832
49,13341.890937021777,59151.09892223291,177869.14663088013
50,13265.670777110776,99473.40594869871,304252.7096192278
51,13211.893101657712,169357.16481560783,455290.84928995214
52,13211.893101657712,80469.18892873163,317769.6164598795
53,13101.68867067208,108727.00638731131,318008.86051811505
54,12988.0731820161,19579.335381527453,36953.577985541044
55,12988.0731820161,60035.39458337016,273618.0373446588
56,12988.0731820161,140899.99622270835,600988.572020126
57,12913.280696015347,38635.48119872044,89120.1482890493
58,12865.578742305188,99752.07285289928,308871.67866584234
59,12865.578742305188,71722.87652917625,274659.9468477696
60,12731.170911731931,81938.22218183088,330335.63471557817
61,12731.170911731931,148104.45331132502,362525.9676161858
62,12617.733424534226,73937.32018445719,246718.97946024497
63,12519.70318206757,44871.82472061902,82612.21948483746
64,12347.924503615406,105218.68953880147,288305.7378252534
65,12340.974561496318,230991.7208926896,582251.1250446794
66,12320.141959361486,84875.15562936512,207059.65131098867
67,12194.922477154187,39706.726931377954,162946.58185185844
68,12169.694444822666,80844.03213793541,246175.69120892006
69,12027.66439585819,94072.65168064431,174499.413291294
70,11927.017263424212,32943.414732444115,64434.09100027369
71,11669.152990203693,58023.52413324636,169611.22204764478
72,11669.152990203693,110585.2210259938,307722.87527222134
73,11669.152990203693,96435.49241313737,441126.66071430733
74,11669.152990203693,44378.8186600701,200526.92691720146
75,11517.737117865156,244182.2457825894,615430.2338743284
76,11517.737117865156,91536.03087490516,319801.94786061055
77,11503.80794934372,176590.65882117665,470049.99087988783
78,11491.231672901802,141149.8435114927,430759.02321125317
79,11383.684603333097,129992.39663657652,335767.94038636406
80,11335.996634819041,80804.52538076432,240360.76012716713
81,11265.501072259865,55524.785339644615,142048.73171083926
82,11214.056392371582,88875.70266827922,276367.22243585374
83,11095.183406413966,60421.76835828461,217002.16470570498
84,11095.183406413966,71454.79644842916,278374.2914426264
85,10937.198260019404,43731.61827844134,204718.9272337466
86,10831.245516145877,104686.42753013744,282783.38986800873
87,10796.250435248478,139216.90929629098,362454.8409452291
88,10704.4842446582,47749.05749537696,111457.6170638349
89,10665.78274946728,110774.36408091756,310601.92397427233
90,10616.847222346563,127874.01528841138,386020.7952060881
91,10353.843940422488,30498.24452651069,66893.89377351478
92,10353.843940422488,121112.5117568677,473860.05862010684
93,10306.890634240233,98283.95085229151,292182.05323381
94,10306.890634240233,117849.77188424874,347500.60867017135
95,10126.79551429068,58405.13572779689,135742.34281574027
96,10126.79551429068,64716.15473786681,273066.3657508612
97,9974.84555458842,137436.66574262877,328734.89759190904
98,9958.862391950932,92986.45964309726,279754.11694244726
99,9875.12406779053,76099.03707166437,234269.0916385398
100,9870.651742853805,65963.57191396752,169306.5763395509
