Epoch,Best,Average,StdDev
1,3520089074.7792673,19686680626.718678,14259484543.582043
2,3454116595.5825086,21015199182.878906,18727399162.95904
3,2521418709.514472,23774487591.375645,29528963590.21992
4,2518380203.2917004,25994428996.48725,32783216043.44554
5,2195085474.7443533,30667785877.862972,45463157695.539215
6,2184478203.414964,28100563555.534004,34961439825.37898
7,2184478203.414964,32732111781.842907,58697475769.589294
8,2184478203.414964,27404445744.05845,40296184976.75557
9,2177840339.170099,28357747386.403996,40380318995.94231
10,2177840339.170099,27116940080.390873,39248912627.58733
11,1831204254.182163,25849291221.8467,34189843489.775578
12,1630711145.4518545,23820977984.60451,27540285936.610416
13,1630711145.4518545,24153873227.505722,25250052666.84447
14,1630711145.4518545,26785421688.781162,36680457678.29522
15,1630711145.4518545,26395081435.144474,35884160772.72418
16,1625583004.480682,23931235303.7725,26819210190.45433
17,1609658636.2540252,23264838057.282204,23553228426.014103
18,1505651949.776018,26631418745.715023,36255993690.40817
19,1220777015.0821981,31674433956.65346,54248964122.00696
20,1183042565.3200557,31508635407.95062,47432906801.94305
21,1183042565.3200557,32837143442.233097,51208069497.68723
22,1178754757.5792305,29542759529.39294,36619911030.15673
23,1178754757.5792305,27510790963.929398,35168230146.596794
24,926265767.4009342,28202127501.84147,33746842738.570694
25,926265767.4009342,29167382371.454174,51334997493.448235
26,926265767.4009342,35022592499.21623,84234415068.35257
27,924233464.0243864,46995659416.85341,187644238096.69135
28,924233464.0243864,41551007785.82193,135624411628.03236
29,923902202.4095161,35337785675.71139,73472331094.56027
30,923342884.4955257,33226026673.288177,73442919783.97562
31,917468606.1398987,28563902743.99369,40200403075.19928
32,917468606.1398987,27141246970.899204,34047436914.25859
33,917468606.1398987,26122031282.65792,33356325638.132607
34,911287551.7941246,26673551817.886894,31655478832.150898
35,911287551.7941246,26293738371.358246,37260924360.45213
36,911287551.7941246,22542511124.272305,20866686861.036976
37,911287551.7941246,23908885999.390087,30052968184.64086
38,911287551.7941246,22716332808.740005,27878391950.16291
39,905611861.957661,24733845876.69502,29953585109.39348
40,905611861.957661,28243408603.662266,34738390700.39298
41,904890160.578766,30408343552.0441,42875646932.52925
42,904264357.5248648,31757446368.696903,48210737559.0452
43,904264357.5248648,27603408191.28911,34464994443.10327
44,904264357.5248648,29226858747.1231,54809968773.425316
45,891426034.6254272,30018965977.18185,51448795078.70075
46,891426034.6254272,28454538787.336586,39816840388.80508
47,891426034.6254272,25980075402.85063,34467143031.248146
48,886893716.071906,24263738116.281773,32614297169.59968
49,886893716.071906,26265244362.6957,34587745446.90065
50,879379002.0517342,26068441059.218094,33557314965.7726
51,874924055.9951509,25696827778.619957,29815175270.24005
52,874924055.9951509,26647045841.929005,31380680698.94402
53,874924055.9951509,25018225731.121613,28125531840.193027
54,864225360.0074836,25465953495.31898,27826689518.492714
55,864225360.0074836,25747389492.24405,28399804153.493843
56,851999303.1599333,27204961017.254303,35793792047.332146
57,847990800.0932331,28436526862.862614,36486096854.18179
58,833112372.5587502,26905822511.935966,34121041273.593582
59,831713362.856854,27621127325.606792,32649744787.676258
60,827503164.8521858,31208515680.682186,41471982638.12316
61,818839061.5971861,29346827053.55498,39913782012.32375
62,818775596.8764238,28465530773.264584,42421290733.79621
63,818775596.8764238,25942086021.04067,35374048718.03606
64,815074658.0044746,29101306103.921364,42141046214.532265
65,813474572.3887486,33211815648.026577,48421002658.895294
66,813474572.3887486,36975383275.49509,62974405869.79025
67,813474572.3887486,29923912434.291092,37376803925.85096
68,812309526.614612,26078400746.42528,28868380618.465885
69,810184336.5633636,25176803044.001205,29280611782.292362
70,804025480.592965,27015053348.177364,37883751054.59818
71,796892911.5310639,27143098021.289032,38003999381.847176
72,796892911.5310639,25750468317.23483,33725092820.475292
73,796892911.5310639,24762938385.568516,30134656039.424103
74,795195708.5479686,26760989669.970158,33285765841.719677
75,795195708.5479686,25774063646.79241,31704497276.268806
76,793877105.1855743,26141173314.0084,32110142580.78331
77,789308068.9830912,29034710401.130665,39893376767.92293
78,789308068.9830912,28555047363.06866,37809195349.024376
79,789308068.9830912,28247527277.321083,32145960779.07959
80,789308068.9830912,25754852584.58646,27996317547.862453
81,789308068.9830912,27669202739.63194,33287227042.569157
82,789308068.9830912,27813698817.95834,33464515206.60492
83,787958335.322441,30064120826.94301,36379982344.25634
84,787958335.322441,30963030480.731388,35686699926.7171
85,787958335.322441,29622325173.091698,34378146852.281
86,787958335.322441,27985766176.53978,30474206730.225117
87,787958335.322441,31165619525.558605,40450962234.80249
88,787958335.322441,30642917566.09664,40666999086.58186
89,786037265.2355016,30870703386.95279,38421587094.33198
90,782356158.6989928,34205027580.470993,45386971171.67263
91,782356158.6989928,32241437910.932194,40452121791.13019
92,782356158.6989928,30753475559.594044,38596497976.86479
93,782356158.6989928,28605512484.98616,29720787239.116924
94,781684069.3404317,27837261781.746094,29983460916.18878
95,779077803.8771725,28261477210.034744,34443961268.0153
96,779077803.8771725,29879160161.769276,34879945318.20651
97,779023482.3669636,28780454466.493114,36080780760.704475
98,777087146.2801912,30373959664.40084,37739433238.48764
99,776990279.726212,31226798575.58862,37340169550.27977
100,776990279.726212,30612680529.25403,36690418929.42703
